street_address,phone_number,zip_code,entity_type,fips_county_code,bed_count,city,state_or_region,name_common,ccn,facility_type,medicare_medicaid_eligible,lat,lon
1108 ross clark circle,3347938701,36301,STATE,69.0,420.0,dothan,AL,southeast health medical center,010001,Short Term,true,,
2505 u s highway 431 north,2565938310,35957,STATE,95.0,240.0,boaz,AL,marshall medical centers south campus,010005,Short Term,true,,
1701 veterans drive,2567688400,35630,VOL. NON PROFIT - RELIGIOUS AFF,77.0,338.0,florence,AL,north alabama medical center,010006,Short Term,true,,
702 n main st,3344933541,36467,PROPRIETARY,39.0,99.0,opp,AL,mizell memorial hospital,010007,Short Term,true,,
101 hospital circle,3343353374,36049,VOL. NON PROFIT - RELIGIOUS AFF,41.0,65.0,luverne,AL,crenshaw community hospital,010008,Short Term,true,,
50 medical park east drive,2058383122,35235,PROPRIETARY,73.0,362.0,birmingham,AL,st vincent's east,010011,Short Term,true,,
200 med center drive,2568453150,35968,VOL. NON PROFIT - RELIGIOUS AFF,49.0,134.0,fort payne,AL,dekalb regional medical center,010012,Short Term,true,,
1000 first street north,2056208100,35007,PROPRIETARY,117.0,252.0,alabaster,AL,shelby baptist medical center,010016,Short Term,true,,
"1720 university blvd, suite 500",2053258100,35233,PROPRIETARY,73.0,106.0,birmingham,AL,uab callahan eye hospital authority,010018,Short Term,true,,
1300 south montgomery avenue,2563864556,35660,STATE,33.0,185.0,sheffield,AL,helen keller memorial hospital,010019,Short Term,true,,
126 hospital ave,3347742601,36360,STATE,45.0,89.0,ozark,AL,dale medical center,010021,Short Term,true,,
400 northwood dr,2569275531,35960,PROPRIETARY,19.0,60.0,centre,AL,floyd cherokee medical center,010022,Short Term,true,,
2105 east south boulevard,3342882100,36116,STATE,101.0,432.0,montgomery,AL,baptist medical center south,010023,Short Term,true,,
1725 pine street,3342938000,36106,PROPRIETARY,101.0,344.0,montgomery,AL,jackson hospital & clinic inc,010024,Short Term,true,,
2000 pepperell parkway,3347493411,36801,STATE,81.0,429.0,opelika,AL,east alabama medical center,010029,Short Term,true,,
619 south 19th street,2059344011,35233,NOT FOR PROFIT,73.0,1157.0,birmingham,AL,university of alabama hospital,010033,Short Term,true,,
805 friendship road,3342836541,36078,PROPRIETARY,51.0,69.0,tallassee,AL,community hospital inc,010034,Short Term,true,,
1912 alabama highway 157,2567372000,35058,STATE,43.0,115.0,cullman,AL,cullman regional medical center,010035,Short Term,true,,
849 south three notch street,3342228466,36420,VOL. NON PROFIT - RELIGIOUS AFF,39.0,88.0,andalusia,AL,andalusia health,010036,Short Term,true,,
101 sivley rd,2562651000,35801,STATE,89.0,881.0,huntsville,AL,huntsville hospital,010039,Short Term,true,,
1007 goodyear avenue,2564944000,35903,VOL. NON PROFIT - RELIGIOUS AFF,55.0,346.0,gadsden,AL,gadsden regional medical center,010040,Short Term,true,,
1256 military street south,2059216200,35570,PROPRIETARY,93.0,57.0,hamilton,AL,marion regional medical center,010044,Short Term,true,,
1653 temple avenue north,2059325966,35555,RELIGIOUS AFFILIATION,57.0,61.0,fayette,AL,fayette medical center,010045,Short Term,true,,
600 south third street,2565435200,35901,VOL. NON PROFIT - RELIGIOUS AFF,55.0,281.0,gadsden,AL,riverview regional medical center,010046,Short Term,true,,
